name,url,category,dr_estimate,link_type,submission_method,cost,requires_login,captcha,review_time,requirements,automation_score,automation_notes,status
aitoolslist.io,https://aitoolslist.io/submit-ai-tool/,ai_directory,30-40 (est),dofollow,form,free (separate paid Sponsor section),no,none detected,unknown ('added if it fits criteria'),Embedded Tally form (tally.so/r/n9BqRX): tool name/URL/description; AI tools only,5,"Public embedded Tally form, no login/captcha/payment — pure form POST. Verified dofollow (plain target=_blank anchors).",live
Launching Next,https://www.launchingnext.com/submit/,maker_directory,55 (est),dofollow,form,free (optional $99 upgrade),no,math,Reviewed daily; email if published,"Startup name, URL, headline (5-8 words), description (2500 chars), 5-10 tags, funding radio, budget radio, contact name+email",5,"PILOT-CONFIRMED: pure public form POST, no login, math captcha agent-solvable. Klinky submitted 2026-07-28 (no ack email; publication = confirmation). Dofollow observed.",live
TinyLaunch,https://www.tinylaunch.com/api/v1,maker_directory,72 (self-claimed in llms.txt; est),dofollow,account_required,freemium (Standard free — backlink only top-3 weekly; Premium $39/launch guaranteed dofollow; featured $15-30/week),yes (email OTP: POST /api/v1/auth/request-code then /auth/verify — code readable from agent Gmail),none (JSON API),unknown free queue ('first available Monday'); premium skips,"Maker profile, startup (name, URL, tagline, description, category via GET /categories), launch date via GET /launch-dates; full OpenAPI at /openapi.json",5,"SUBMITTED 2026-07-29 via pure API (8 endpoints, OTP Gmail-read): launch 18684 scheduled 2026-08-31 free tier. Logo must be {filename,content_base64}; description restricted HTML (no links); public URL /launch/<id> numeric; token ~1h.",submitted
EU-Startups,https://www.eu-startups.com/directory/?wpbdp_view=submit_listing,startup_directory,75 (est),unknown,account_required,"free (Free Listing plan, never expires, 1 image)",yes (WordPress account: username + password),none (3-step form; edge bot protection 403s curl but browser works),unknown (editorial review; new listings daily),"Country category (Norway covered), listing fields, 1 image on free plan",5,"SUBMITTED 2026-07-29: WPBDP flow needs NO account (guest submit) — score 4→5. Free plan auto-selected, no captcha. Pending admin approval. select2 country field; file input #uploaded-images.",submitted
Europe Startup Guide,https://europe-startup-guide.com/suggest,nordic_regional,~35 (est),unknown,form,free,no,none detected,unknown ('every submission reviewed by a human before it goes live'),suggestion with enough detail + source link to verify; startups/investors/events,5,"Public suggest form, no login/captcha/payment. Pan-European incl. Nordics. Human review before publication is routine.",live
Startup Database by Swedish Tech News,https://data.swedishtechnews.com/add-startup,nordic_regional,~40 (est),unknown,form,free (PRO is for readers),no,none (reCAPTCHA in config but enabled:false),unknown ('does not guarantee publication'; new startups prioritized),"STRICT: Sweden-based startups only; company name, URL, founders, one founder LinkedIn, funding details",5,"Public multi-step form, no login, captcha disabled, free. Geographic eligibility gate: only qualifies if klinky can honestly claim Sweden-based — likely skip (Norwegian entity).",live
SaaSHub,https://www.saashub.com/services/submit,maker_directory,~78 (est),mixed (organic listings dofollow; paid placements sponsored),form,free (paid featuring optional),no,none,"unknown; approval queue, missing competitors = bottom of queue","Product URL, categories, competitors strongly encouraged; optional domain-email verification for priority. Rejects unreleased products, free subdomains, non-English, agencies, waitlists.",5,"Public form, no login/captcha/payment. Organic listing links dofollow. HIGHEST-VALUE easily-automatable target in chunk.",live
ToolScout,https://toolscout.ai/submit,ai_directory,10-20 (est),"mixed (rel=""noopener sponsored"" — not nofollow, but sponsored-tagged)",account_required,freemium (free standard listing; optional paid Boost/Featured),yes — Google OAuth or email,none detected,"24-48 hours (stated; human review, email on approval)","Live AI product; description, category tags, pricing, screenshot",4,Fully agent-executable (OAuth/email + Gmail). Downside: outbound links rel=sponsored — SEO value a hint at best.,live
AI Tools Recap,https://aitoolsrecap.com/ListYourTool.aspx,ai_directory,15 (est),nofollow,account_required,freemium (Starter free; Launch $19; Growth $49/yr; Authority $99/yr),yes (email/username + password),none (honeypot fields instead — leave hfHoneypot + website_url_do_not_fill empty),unknown (standard queue free; priority paid),Account signup; free tier = public listing page only,4,"Plain ASP.NET POST, honeypot traps, no captcha; email verification via Gmail. But live listings are rel=nofollow and DR ~15 — no SEO value, low priority.",live
SeekAIs,https://seekais.com/submit,ai_directory,33 (est),dofollow,account_required,free,yes (Google OAuth only),none,unknown,unknown (form gated behind login),4,"Agent can complete Google OAuth + gated form; no captcha/payment. Listings link out rel=noreferrer (no nofollow) = dofollow. Login is a modal, /login route 404s.",live
